country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,27.5,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,6.6,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,2.6,,,,4.2,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,8.4,,
Burundi,,,,,,,,,,,,,,,,,,30.2,,,,,,,,,,,,,38.9,,,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8,,,,,21.5,,,,,20.2,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,29.6,,,,,,33.7,,,,35.2,,,37.4,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,64.3,63.7,59,61,58,56.7,52.5,53.3,52,48.2,45.4,43.1,40.9,42.7,39.2,39.8,41.3,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,1.6,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,
Bolivia,,,,,,,,,,,,,,,,,,,,8.9,,,,,12.6,,,,5.9,,,,,,5.9,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,3.7,,,,2.2,
Barbados,,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,,,,,,,,
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,23.3,,,,,21.8,,,,,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.5
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,20.9,,,,,18.2,,,,,,,16.7,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,17.8,,,,,,15.1,,16.6,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6,,,,,,28.2,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,
Colombia,,,,,,,,,,,,,,,,,8.6,,,,,,,,,6.3,,,,,4.9,,,,,5.1,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,,,,25,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,9.3,,,,,8.4,,,,,4.7,,,,3.5,,4.2,,,,,3.4,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,,,,,5.4,,11.1,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,
Egypt,,,,,,,,,,,,,,,,,,,11.6,,,,,8.2,,,10.8,,,,4.3,,,8.7,,5.4,,,6.8
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3,,,,,,34.5,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,34.6,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,
Ghana,,,,,,,,,,,,,,,,,,,24.1,,,,,,25.1,,,,,20.3,,,,18.8,,,13.9,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,,,,,,22.5,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,,,,,,15.8,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,,,,,,17.4,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7,,,,10.6,,,,
Guatemala,,,,,,,,,,,,,,,,,,27.8,,,,,,,,21.7,,,,20.3,,,17.7,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,,,,,,,10.8,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,,,,,12.5,,,,,8.6,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,13.9,,,,,,18.9,,
Hungary,,,,,,,,,,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,31,,,29.8,,,27.4,,,25.8,22.8,24.8,23.4,23,23.1,19.7,24.4,,19.6,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,,,,,,,43.5,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,,,,,7.1,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4,5.6,3.5,3.4,2.3,3.8,4.1,2.6,,3.1,,5.3,2.2,
Jordan,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,3.8,,,,,3.6,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,3.8,,,,,,,4.9,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,20.1,,,,,17.6,,17.5,,,16.5,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,,,,,2.7,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,42.6,,,,39.5,,,,,,28.4,,28.8
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4,,,,,,31.6,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.8,,,,,,,20.4,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,5.6,
Sri Lanka,,,,,,,,,,,,,,,,,,29.3,,,,,,,,,,,,,22.8,,,,,,,21.1,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,16.6,,,
Morocco,,,,,,,,,,,,,,,,,,12.7,,,,,8.1,,,,,,,,,,,,9.9,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,35.5,,,,,35.5,,,,,,,36.8,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,32.5,,,,41.5,,,25.7,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,13.9,,,,,,,,,,6,,,,,,,3.4,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,,,,,1.2,1.8,,,
Mali,,,,,,,,,,,,,,,,,,29,,,,,,,,,38.2,,,,,30.1,,,,,27.9,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,,,29.6,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,11.6,,,,4.8,5.3,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,,,,,,21.2,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4,,,,,,23.2,
Malawi,,,,,,,,,,,,,,,,,,,,,,,24.4,,,,,,,,21.5,,,,,18.4,15.5,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,21.5,,,,,,,,20.3,,,,,,,17.5,
Niger,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,45,,43.6,,,,,,39.9,,
Nigeria,,,,,,,,,,,,,,,,,,,,,35.1,,,,,,,,,,,,,27.2,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,9.6,,,,,10.3,,,7.8,,,,4.3,,,
Netherlands,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,,60.8,,,,,,,,,,,,,,,,,,,,,42.9,,38.2,,,43,,,,,38.8,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,11.3,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,31.3,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,,,,,,,,8.8,,,,5.7,,,,5.2,,,,,5.4,,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,,,,,26.2
Papua New Guinea,,,,,,,,,,,,,,24.6,,,,,,,,,,,,,,,,,,,,,,18.1,,,
North Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3.7,3.8,3.5,,,,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,24.3,,,,,,,,20.3,,,,,18,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,,,,,,31.7,,
Senegal,,,,,,,,,,,,,,,,,17.3,,,,,,,21.9,,,,,,,20.3,,,,,14.5,,,
Singapore,,,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,
Solomon Islands,17.7,,,,,,,,,,,,,,,,,,,16.3,,,,,,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,,,,,28.3,,,
El Salvador,,,,,,,,,,,,,,,,,,,11.1,,,,,7.2,,,,,,,,,,6.1,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,,,,,,,,
Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1,,,,,,,6.1,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,,,,,10,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.3,,,29.4,,,,33.9,,,,
Togo,,,,,,,,,,,,,,,,,,,21.2,,,,,,,,,,23.2,,,,,,,,22.3,,
Thailand,,,,,,,,,,,,,,,,,,17.4,,,,,,,,,,,,,,,,,,,7,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,4.4,,,,,,,,
Tunisia,,,,,,17.2,,,,,,,,,,,,,8.5,,,,,,,8.1,,,,,,,,,,,3.3,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,7,,,,,,3.5,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,25.1,,,,26.9,,,25.3,,,,,,16.7,,,
Uganda,,,,,,,,,,,,,,,,,,,,19.7,,,,,,21.5,,,,,,19,,,,,16.4,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,6,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,1.1,,1.3,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,,,,,,7.1,,,,4.4,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,36.9,,,,,,,26.7,,,,,,20.2,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6,,,,,,43.1,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,21.2,,,,,19.6,,19.6,,,23.3,,,,,14.9,
Zimbabwe,,,,,,,,,,,,,,,,,,,8,,,,,,11.7,,,,,11.5,,,,,,,14,,
